,time (year),avca,cap,capis,capus,cbcefca,cdpis,cdpus,cipis,cipus,coca,cpis,cpus,crr,cucpis,cucpus,cucpus1980,ecr,ede,edefca,edelc,etfp,facnc,fracamgdppl,fracamgdppt,incpis,isgdp,lcpis,lcpus,lcpus1980,obsgipis,obsgipus,ogr,oly,oov,oro,owecc,owelc,pede,wsoefca
4872,2056.12,68749.6,692327.0,46632.3,14592.0,0.984629,36640.8,11428.6,48595.0,14827.7,1.07638,527445.0,164881.0,0.0884115,69948.4,21888.1,945.615,0.0305719,0.989285,1.0223,1.00223,2.15814,0.724961,0.65,0.635197,49840.8,0.246812,14.395,14.4271,14.4271,0.01,0.02,0.0256191,243903.0,250512.0,250512.0,1.07638,0.961808,1.00446,1.58986
4873,2056.14,68764.0,692532.0,46652.7,14594.5,0.983367,36647.8,11432.1,48580.0,14825.4,1.07641,527602.0,164931.0,0.0884241,69979.0,21891.8,945.626,0.0305778,0.989372,1.02111,1.00211,2.15862,0.724592,0.65,0.635201,49825.8,0.246763,14.3966,14.427,14.427,0.01,0.02,0.0256422,244007.0,250614.0,250614.0,1.07641,0.961797,1.00422,1.58856
4874,2056.16,68778.5,692738.0,46672.8,14596.9,0.982104,36654.8,11435.7,48564.8,14823.1,1.07643,527758.0,164980.0,0.088436,70009.2,21895.4,945.636,0.0305835,0.989471,1.01995,1.002,2.1591,0.724218,0.65,0.635205,49810.6,0.246712,14.3981,14.4268,14.4268,0.01,0.02,0.0256646,244110.0,250716.0,250716.0,1.07643,0.961786,1.00399,1.58727
4875,2056.17,68793.2,692944.0,46692.5,14599.3,0.980838,36661.9,11439.2,48549.3,14820.9,1.07645,527914.0,165030.0,0.0884471,70038.7,21898.9,945.647,0.0305889,0.989583,1.01882,1.00188,2.15957,0.723838,0.65,0.635207,49795.2,0.246658,14.3995,14.4266,14.4266,0.01,0.02,0.0256865,244213.0,250817.0,250817.0,1.07645,0.961775,1.00376,1.58598
4876,2056.19,68808.1,693150.0,46711.8,14601.6,0.979571,36669.1,11442.8,48533.6,14818.8,1.07647,528071.0,165079.0,0.0884575,70067.7,21902.4,945.657,0.030594,0.989708,1.01771,1.00177,2.16005,0.723453,0.65,0.635209,49779.4,0.246602,14.401,14.4265,14.4265,0.01,0.02,0.0257077,244316.0,250918.0,250918.0,1.07647,0.961765,1.00354,1.5847
4877,2056.2,68823.1,693356.0,46730.8,14603.8,0.978303,36676.5,11446.3,48517.7,14816.8,1.07649,528228.0,165128.0,0.0884671,70096.2,21905.8,945.668,0.0305989,0.989845,1.01663,1.00166,2.16053,0.723063,0.65,0.63521,49763.5,0.246542,14.4024,14.4263,14.4263,0.01,0.02,0.0257282,244419.0,251019.0,251019.0,1.07649,0.961754,1.00333,1.58343
4878,2056.22,68838.3,693563.0,46749.4,14606.1,0.977034,36683.9,11449.9,48501.6,14814.9,1.07651,528385.0,165178.0,0.088476,70124.1,21909.1,945.679,0.0306036,0.989995,1.01557,1.00156,2.16101,0.722668,0.65,0.635209,49747.3,0.24648,14.4037,14.4262,14.4262,0.01,0.02,0.0257481,244522.0,251120.0,251120.0,1.07651,0.961743,1.00311,1.58216
4879,2056.23,68853.7,693769.0,46767.7,14608.2,0.975764,36691.5,11453.4,48485.3,14813.1,1.07653,528542.0,165227.0,0.0884842,70151.5,21912.3,945.689,0.0306081,0.990157,1.01455,1.00145,2.16149,0.722268,0.65,0.635208,49730.9,0.246415,14.405,14.426,14.426,0.01,0.02,0.0257674,244626.0,251220.0,251220.0,1.07653,0.961733,1.00291,1.58091
4880,2056.25,68869.3,693976.0,46785.6,14610.4,0.974492,36699.2,11457.0,48468.9,14811.4,1.07656,528700.0,165276.0,0.0884917,70178.3,21915.5,945.699,0.0306123,0.990331,1.01355,1.00136,2.16197,0.721864,0.65,0.635205,49714.3,0.246346,14.4063,14.4258,14.4258,0.01,0.02,0.025786,244729.0,251319.0,251319.0,1.07656,0.961722,1.00271,1.57967
4881,2056.27,68885.0,694183.0,46803.1,14612.5,0.973221,36707.0,11460.5,48452.3,14809.7,1.07658,528857.0,165326.0,0.0884985,70204.6,21918.7,945.71,0.0306162,0.990517,1.01259,1.00126,2.16244,0.721455,0.65,0.635202,49697.5,0.246276,14.4075,14.4257,14.4257,0.01,0.02,0.0258039,244832.0,251419.0,251419.0,1.07658,0.961711,1.00252,1.57843
