,time (year),awbdi,awbgw,awbi,awbin,awbp,awbps,iest,ipp,ird,ist,orp,pawbi,psestr,pssgdp,rd,ste,steerd,soc_trust,strerd,wbep
101,1981.58,0.933817,1.0,0.730696,0.854797,0.888458,0.990457,0.964996,29.9235,28.8421,0.718404,0.00142223,0.659853,0.744464,0.223339,29.9235,1.27867,0.98359,0.613535,0.977442,0.999915
102,1981.59,0.933576,1.0,0.730903,0.854781,0.888555,0.991071,0.964973,29.9218,28.8285,0.718604,0.00143847,0.659975,0.744688,0.223407,29.9218,1.27842,0.983402,0.613698,0.977169,0.999914
103,1981.61,0.933335,1.0,0.73111,0.854767,0.888651,0.991677,0.964954,29.9201,28.815,0.718802,0.00145469,0.660099,0.744908,0.223472,29.9201,1.27818,0.983215,0.613862,0.976896,0.999914
104,1981.62,0.933094,1.0,0.731316,0.854757,0.888748,0.992275,0.96494,29.9184,28.8014,0.718997,0.0014709,0.660222,0.745122,0.223536,29.9184,1.27794,0.983028,0.614026,0.976623,0.999913
105,1981.64,0.932853,1.0,0.731522,0.854749,0.888845,0.992867,0.964929,29.9166,28.7879,0.71919,0.0014871,0.660345,0.74533,0.223599,29.9166,1.27769,0.982841,0.61419,0.976349,0.999913
106,1981.66,0.932614,1.0,0.731729,0.854744,0.888942,0.993451,0.964922,29.9149,28.7744,0.719381,0.00150329,0.660469,0.745533,0.22366,29.9149,1.27745,0.982654,0.614354,0.976076,0.999912
107,1981.67,0.932375,1.0,0.731935,0.854742,0.889038,0.994029,0.964919,29.9131,28.7608,0.71957,0.00151946,0.660593,0.745731,0.223719,29.9131,1.27721,0.982468,0.614519,0.975802,0.999912
108,1981.69,0.932137,1.0,0.732142,0.854743,0.889135,0.9946,0.964921,29.9113,28.7473,0.719758,0.00153563,0.660716,0.745924,0.223777,29.9113,1.27697,0.982281,0.614683,0.975529,0.999912
109,1981.7,0.9319,1.0,0.73235,0.854747,0.889232,0.995165,0.964926,29.9095,28.7338,0.719943,0.00155178,0.66084,0.746112,0.223834,29.9095,1.27672,0.982095,0.614847,0.975255,0.999911
110,1981.72,0.931664,1.0,0.732558,0.854754,0.889328,0.995724,0.964936,29.9076,28.7203,0.720127,0.00156792,0.660965,0.746296,0.223889,29.9076,1.27648,0.981909,0.615011,0.974982,0.999911
111,1981.73,0.93143,1.0,0.732768,0.854763,0.889425,0.996278,0.964949,29.9058,28.7068,0.72031,0.00158405,0.661089,0.746475,0.223942,29.9058,1.27624,0.981722,0.615175,0.974708,0.999911
112,1981.75,0.931197,1.0,0.732979,0.854776,0.889521,0.996826,0.964967,29.9039,28.6933,0.720491,0.00160017,0.661213,0.746649,0.223995,29.9039,1.276,0.981537,0.61534,0.974434,0.99991
113,1981.77,0.930967,1.0,0.73319,0.854792,0.889618,0.99737,0.964989,29.902,28.6798,0.720672,0.00161628,0.661338,0.746818,0.224046,29.902,1.27576,0.981351,0.615504,0.97416,0.99991
114,1981.78,0.930738,1.0,0.733404,0.854811,0.889714,0.997908,0.965015,29.9001,28.6663,0.720851,0.00163238,0.661463,0.746984,0.224095,29.9001,1.27551,0.981165,0.615668,0.973886,0.99991
115,1981.8,0.930511,1.0,0.733619,0.854833,0.889811,0.998442,0.965046,29.8982,28.6528,0.721029,0.00164847,0.661588,0.747145,0.224143,29.8982,1.27527,0.980979,0.615833,0.973612,0.99991
116,1981.81,0.930286,1.0,0.733836,0.854858,0.889907,0.998972,0.965081,29.8962,28.6393,0.721206,0.00166455,0.661713,0.747302,0.224191,29.8962,1.27503,0.980794,0.615997,0.973338,0.99991
117,1981.83,0.930063,1.0,0.734055,0.854886,0.890004,0.999498,0.96512,29.8943,28.6259,0.721383,0.00168061,0.661838,0.747454,0.224236,29.8943,1.27479,0.980608,0.616161,0.973064,0.99991
118,1981.84,0.929843,1.0,0.734276,0.854917,0.8901,1.00002,0.965163,29.8923,28.6124,0.721559,0.00169667,0.661963,0.747603,0.224281,29.8923,1.27455,0.980423,0.616326,0.97279,0.99991
119,1981.86,0.929626,1.0,0.7345,0.854952,0.890196,1.00054,0.965211,29.8903,28.5989,0.721734,0.00171273,0.662089,0.747748,0.224324,29.8903,1.27431,0.980238,0.61649,0.972516,0.99991
120,1981.88,0.929412,1.0,0.734726,0.854989,0.890293,1.00105,0.965263,29.8883,28.5855,0.721909,0.00172877,0.662215,0.747888,0.224366,29.8883,1.27407,0.980053,0.616655,0.972242,0.99991
121,1981.89,0.9292,1.0,0.734955,0.85503,0.890389,1.00157,0.96532,29.8862,28.572,0.722083,0.00174481,0.66234,0.748025,0.224408,29.8862,1.27383,0.979868,0.616819,0.971968,0.99991
122,1981.91,0.928992,1.0,0.735187,0.855074,0.890485,1.00207,0.965381,29.8842,28.5586,0.722257,0.00176084,0.662466,0.748158,0.224447,29.8842,1.27359,0.979683,0.616984,0.971694,0.99991
123,1981.92,0.928787,1.0,0.735423,0.855123,0.890582,1.00258,0.965448,29.8821,28.5451,0.722433,0.00177686,0.662593,0.748287,0.224486,29.8821,1.27335,0.979498,0.617148,0.97142,0.999911
124,1981.94,0.928585,1.0,0.735666,0.855178,0.890678,1.00309,0.965525,29.88,28.5317,0.722611,0.00179288,0.662719,0.748413,0.224524,29.88,1.27311,0.979313,0.617313,0.971146,0.999911
125,1981.95,0.928387,1.0,0.735914,0.85524,0.890774,1.00359,0.965611,29.8779,28.5182,0.722793,0.00180889,0.662846,0.748534,0.22456,29.8779,1.27287,0.979128,0.617477,0.970872,0.999911
126,1981.97,0.928193,1.0,0.73617,0.855309,0.890871,1.00409,0.965707,29.8758,28.5048,0.722979,0.00182491,0.662973,0.748653,0.224596,29.8758,1.27263,0.978943,0.617642,0.970597,0.999912
